"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Android app user - Change Password in mobile browser","","0","0","1","0","0"
"","Reset Password","","0","0","2","0","0"
"","iOS app user - Guest user can access Settings screen through navigation menu","","0","0","1","0","0"
"","Guest User","","0","0","5","0","0"
"","iOS app user - Login from NYL Home screen with valid credentials","","0","0","1","0","0"
"","Login","","0","0","3","0","0"
"","Android app user - Send password recovery link","","0","0","1","0","0"
"","Android app user - Continue as a Guest to login from Mega Millions Notifications","","0","0","1","0","0"
"","iOS app user - Continue as a Guest to verify that a user can access the Promotions screen through the nav menu","","0","0","1","0","0"
"","Android app user - Register an user from NYL Home screen successfully","","0","0","0","0","1"
"","Register User","","0","0","0","0","1"
"","Android app user - Login from NYL Home screen with valid credentials","","0","0","1","0","0"
"","iOS app user - Cannot login with invalid credentials","","0","0","1","0","0"
"","iOS app user - Continue as a Guest to login from Mega Millions Notifications","","0","0","1","0","0"
"","iOS app user - Continue as a Guest to verify that a user can access the Find Retailers screen through the nav menu","","0","0","1","0","0"
